Termo;Descricão Padrão
"x 2 1/2""";"2.1/2"""
"x 21/2""";"2.1/2"""
"x 1.1/2""";"1.1/2"""
"x 1 1/2""";"1.1/2"""
"x 11/2""";"1.1/2"""
"x 1/2""";"1/2"""
"x 2""";"2"""
"x 1""";"1"""
"x 1/4""";"1/2"""
x1/4;"1/2"""
x 36;"36"""
x 34;"34"""
x 32;"32"""
x 30;"30"""
x 28;"28"""
x 26;"26"""
x 24;"24"""
x 22;"22"""
x 20;"20"""
x 18;"18"""
x 16;"16"""
x 14;"14"""
x 12;"12"""
x 10;"10"""
x 8;"8"""
x 6;"6"""
x 5;"5"""
x 1.1/4;"1.1/4"""
x 1 1/4;"1.1/4"""
x 11/4;"1.1/4"""
x 3/4;"3/4"""
x 4;"4"""
x 3;"3"""
x 2.1/2;"2.1/2"""
x 2 1/2;"2.1/2"""
x 21/2;"2.1/2"""
x 1.1/2;"1.1/2"""
x 1 1/2;"1.1/2"""
x 11/2;"1.1/2"""
x 1/2;"1/2"""
x 2;"2"""
x 1;"1"""
x 1/4;"1/2"""
dn 315;"12"""
dn 225;"10"""
dn 180;"8"""
dn 90;"3"""
dn 63;"2.1/2"""
dn315;"12"""
dn225;"10"""
dn180;"8"""
dn90;"3"""
dn63;"2.1/2"""
diam 315;"12"""
diam 225;"10"""
diam 180;"8"""
diam 90;"3"""
diam 63;"2.1/2"""
diam315;"12"""
diam225;"10"""
diam180;"8"""
diam90;"3"""
diam63;"2.1/2"""
315 mm;"12"""
225 mm;"10"""
180 mm;"8"""
90 mm;"3"""
63 mm;"2.1/2"""
DE 710;"26"""
DE 315;"12"""
DE 250;"10"""
DE 200;"8"""
DE 180;"8"""
DE 160;"6"""
DE 140;"6"""
DE 125;"5"""
DE 110;"4"""
DE 90;"3"""
DE 75;"2.1/2"""
DE 63;"2"""
DE 50;"1.1/2"""
DE 40;"1.1/4"""
DE 32;"1"""
DE 25;"3/4"""
DE 20;"1/2"""
DE710;"26"""
DE315;"12"""
DE250;"10"""
DE200;"8"""
DE180;"8"""
DE160;"6"""
DE140;"6"""
DE125;"5"""
DE110;"4"""
DE90;"3"""
DE75;"2.1/2"""
DE63;"2"""
DE50;"1.1/2"""
DE40;"1.1/4"""
DE32;"1"""
DE25;"3/4"""
DE20;"1/2"""
DIAMETRO: 710;"26"""
DIAMETRO: 315;"12"""
DIAMETRO: 250;"10"""
DIAMETRO: 200;"8"""
DIAMETRO: 180;"8"""
DIAMETRO: 160;"6"""
DIAMETRO: 140;"6"""
DIAMETRO: 125;"5"""
DIAMETRO: 110;"4"""
DIAMETRO: 90;"3"""
DIAMETRO: 75;"2.1/2"""
DIAMETRO: 63;"2"""
DIAMETRO: 50;"1.1/2"""
DIAMETRO: 40;"1.1/4"""
DIAMETRO: 32;"1"""
DIAMETRO: 25;"3/4"""
DIAMETRO: 20;"1/2"""
900mm;"36"""
800mm;"32"""
700mm;"28"""
600mm;"24"""
500mm;"20"""
450mm;"18"""
400mm;"16"""
350mm;"14"""
300mm;"12"""
250mm;"10"""
200mm;"8"""
150mm;"6"""
125mm;"5"""
100mm;"4"""
80mm;"3"""
65mm;"2.1/2"""
50mm;"2"""
40mm;"1.1/2"""
32mm;"1.1/4"""
25mm;"1"""
20mm;"3/4"""
15mm;"1/2"""
10mm;"1/2"""
160mm;"6"""
140mm;"5"""
110mm;"4"""
85mm;"3"""
75mm;"2.1/2"""
60mm;"2"""
50mm;"1.1/2"""
40mm;"1.1/4"""
32mm;"1"""
25mm;"3/4"""
20mm;"1/2"""
315mm;"12"""
225mm;"10"""
180mm;"8"""
90mm;"3"""
63mm;"2.1/2"""
