Termo;Descrição Padrão
1 x 10mm2;1C
1 x 16mm2;1C
1 x 25mm2;1C
1 x 35mm2;1C
1 x 50mm2;1C
1 x 70mm2;1C
1 x 95mm2;1C
1 x 120mm2;1C
1 x 150mm2;1C
1 x 185mm2;1C
1 x 240mm2;1C
1 x 300mm2;1C
1 x 400mm2;1C
1 x 500mm2;1C
Número de pares, ternas ou quadras: 1;1 Par
Número de pares, ternas ou quadras: 2;2 Par
Número de pares, ternas ou quadras: 3;3 Par
Número de pares, ternas ou quadras: 4;4 Par
Número de pares, ternas ou quadras: 5;5 Par
Número de pares, ternas ou quadras: 6;6 Par
Número de pares, ternas ou quadras: 7;7 Par
Número de pares, ternas ou quadras: 9;9 Par
Número de pares, ternas ou quadras: 10;10 Par
Número de pares, ternas ou quadras: 11;11 Par
Número de pares, ternas ou quadras: 12;12 Par
Número de Ternas: 1;1 Trio
Número de Ternas: 2;2 Trio
Número de Ternas: 3;3 Trio
Número de Ternas: 4;4 Trio
Número de Ternas: 5;5 Trio
Número de Ternas: 6;6 Trio
Número de Ternas: 7;7 Trio
Número de Ternas: 8;8 Trio
Número de Ternas: 9;9 Trio
1 x 2 x 1mm²;1 Par
2 x 2 x 1mm²;2 Par
3 x 2 x 1mm²;3 Par
4 x 2 x 1mm²;4 Par
5 x 2 x 1mm²;5 Par
6 x 2 x 1mm²;6 Par
7 x 2 x 1mm²;7 Par
9 x 2 x 1mm²;9 Par
10 x 2 x 1mm²;10 Par
11 x 2 x 1mm²;11 Par
12 x 2 x 1mm²;12 Par
1P 1(2x1,0mm²);1 Par
1P 1(4x1,0mm²);2 Par
3P (6x1,0mm²);3 Par
4P 1(8x1,0mm²);4 Par
5P 1(10x1,0mm²);5 Par
6P 1(12x1,0mm²);6 Par
7P 1(14x1,0mm²);7 Par
9P 1(18x1,0mm²);9 Par
10P 1(20x1,0mm²);10 Par
11P 1(22x1,0mm²);11 Par
12P 1(24x1,0mm²);12 Par
1T 1(3x1,0mm²);1 Trio
2T 1(6x1,0mm²);2 Trio
3T 1(9x1,0mm²);3 Trio
4T 1(12x1,0mm²);4 Trio
5T 1(15x1,0mm²);5 Trio
6T 1(18x1,0mm²);6 Trio
7T 1(21x1,0mm²);7 Trio
8T 1(24x1,0mm²);8 Trio
9T 1(27x1,0mm²);9 Trio
1x(2x1,0mm2;1 Par
1x(2x(2x1,0mm2;2 Par
1x(3x(2x1,0mm2;3 Par
1x(4x(2x1,0mm2;4 Par
1x(5x(2x1,0mm2;5 Par
1x(6x(2x1,0mm2;6 Par
1x(7x(2x1,0mm2;7 Par
1x(9x(2x1,0mm2;9 Par
1x(10x(2x1,0mm2;10 Par
1x(11x(2x1,0mm2;11 Par
1x(12x(2x1,0mm2;12 Par
1/p;1 Par
2/p;2 Par
3/p;3 Par
4/p;4 Par
5/p;5 Par
6/p;6 Par
7/p;7 Par
0/p;9 Par
10/p;10 Par
11/p;11 Par
12/p;12 Par
1/t;1 Trio
2/t;2 Trio
3/t;3 Trio
4/t;4 Trio
5/t;5 Trio
6/t;6 Trio
7/t;7 Trio
8/t;8 Trio
9/t;9 Trio
1T(Terno);1 Trio
2T(Terno);2 Trio
3T(Terno);3 Trio
4T(Terno);4 Trio
5T(Terno);5 Trio
6T(Terno);6 Trio
7T(Terno);7 Trio
8T(Terno);8 Trio
9T(Terno);9 Trio
 1x1P(par);1 Par
 1x2P(par);2 Par
 1x3P(par);3 Par
 1x4P(par);4 Par
 1x5P(par);5 Par
 1x6P(par);6 Par
 1x7P(par);7 Par
 1x9P(par);9 Par
 1x10P(par);10 Par
 1x11P(par);11 Par
 1x12P(par);12 Par
2 pares;2 Par
3 pares;3 Par
4 pares;4 Par
5 pares;5 Par
6 pares;6 Par
7 pares;7 Par
9 pares;9 Par
