Termo;Descrição Padrão
"2"" x";"2"""
"1"" x";"1"""
"1/4"" x";"1/4"""
 6 x;"6"""
1.1/4 x;"1.1/4"""
 1 1/4 x;"1.1/4"""
11/4 x;"1.1/4"""
3/4 x;"3/4"""
4 x;"4"""
3 x;"3"""
2.1/2 x;"2.1/2"""
2 1/2 x;"2.1/2"""
21/2 x;"2.1/2"""
1.1/2 x;"1.1/2"""
1 1/2 x;"1.1/2"""
11/2 x;"1.1/2"""
1/2 x;"1/2"""
2 x;"2"""
1 x;"1"""
1/4 x;"1/2"""
200 x 100;200 x 100
250 x 100;250 x 100
300 x 100;300 x 100
400 x 100;400 x 100
500 x 100;500 x 100
600 x 100;600 x 100
700 x 100;700 x 100
750 x 100;750 x 100
800 x 100;800 x 100
900 x 100;900 x 100
1000 x 100;1000 x 100
1200 x 100;1200 x 100
1250 x 100;1250 x 100
1500 x 100;1500 x 100
50 X 50;50 x 50
100 X 50;100 x 50
200 X50;200 x 50
300 X 50;300 x 50
400 X 50;400 x 50
500 X 50;500 x 50
100 X 100;100 x 100
150 X 100;150 x 100
100 X 125;100 x 125
125 X 125;125 x 125
150 X 125;150 x 125
200 X 125;200 x 125
300 X 125;300 x 125
400 X 125;400 x 125
200x100;200 x 100
250x100;250 x 100
300x100;300 x 100
400x100;400 x 100
500x100;500 x 100
600x100;600 x 100
700x100;700 x 100
750x100;750 x 100
800x100;800 x 100
900 x 100;900 x 100
1000x100;1000 x 100
1200x100;1200 x 100
1250x100;1250 x 100
1500x100;1500 x 100
50X50;50 x 50
100X50;100 x 50
200X50;200 x 50
300X50;300 x 50
400X50;400 x 50
500X50;500 x 50
100X100;100 x 100
150X100;150 x 100
100X125;100 x 125
125X125;125 x 125
150X125;150 x 125
200X125;200 x 125
300X125;300 x 125
400X125;400 x 125
38 X 38;38 x 38
19 X 38;19 x 38
38 X 76;38 x 76
19 X 76;19 x76
38x38;38 x 38
19x38;19 x 38
38x76;38 x 76
19x76;19 x76
38mmx38;38 x 38
19mmx38;19 x 38
38mmx76;38 x 76
19mmx76;19 x76
38x38mm;38 x 38
19x38mm;19 x 38
38x76mm;38 x 76
19x76mm;19 x76
38x38 mm;38 x 38
19x38 mm;19 x 38
38x76 mm;38 x 76
19x76 mm;19 x76
38 mmx38;38 x 38
19 mmx38;19 x 38
38 mmx76;38 x 76
19 mmx76;19 x76
1.5 mm²;1,5
2.5 mm²;2,5
4 mm²;4
6 mm²;6
10 mm²;10
16 mm²;16
25 mm²;25
35 mm²;35
50 mm²;50
70 mm²;70
95 mm²;95
120 mm²;120
150 mm²;150
185 mm²;185
240 mm²;240
300 mm²;300
400 mm²;400
500 mm²;500
1,5 mm²;1,5
2,5 mm²;2,5
1 mm²;1
1,0 mm²;1
1.0 mm²;1
1.5 mm2;1,5
2.5 mm2;2,5
1,5 mm2;1,5
2,5 mm2;2,5
4 mm2;4
6 mm2;6
10 mm2;10
16 mm2;16
25 mm2;25
35 mm2;35
50 mm2;50
70 mm2;70
95 mm2;95
120 mm2;120
150 mm2;150
185 mm2;185
240 mm2;240
300 mm2;300
400 mm2;400
500 mm2;500
Largura da Peça: 100 mm;100 x 100
Largura da Peça: 200 mm;200 x 100
Largura da Peça: 300 mm;300 x 100
Largura da Peça: 400 mm;400 x 100
Largura da Peça: 500 mm;500 x 100
Largura da Peça: 600 mm;600 x 100
Largura da Peça: 800 mm;800 x 100
Largura da Peça: 1000 mm;1000 x 100
Largura da peça: 100 mm Altura da aba: 100 mm;100 x 100
Largura = 100mm;200 x 100
Largura = 200mm;300 x 100
Largura = 300mm;400 x 100
Largura = 400mm;500 x 100
Largura = 500mm;600 x 100
Largura = 600mm;800 x 100
Largura = 800mm;1000 x 100
Largura 100Mm, Altura Da Aba=100Mm;100 x 100
Largura 200Mm, Altura Da Aba=100Mm;200 x 100
Largura 300Mm, Altura Da Aba=100Mm;300 x 100
Largura 400Mm, Altura Da Aba=100Mm;400 x 100
Largura 500Mm, Altura Da Aba=100Mm;500 x 100
Largura 600Mm, Altura Da Aba=100Mm;600 x 100
Largura 800Mm, Altura Da Aba=100Mm;800 x 100
Largura 1000Mm, Altura Da Aba=100Mm;1000 x 100
Largura 100Mm, Altura Da Aba=50Mm;100 x 50
Largura 200Mm, Altura Da Aba=50Mm;200 x 50
Largura 300Mm, Altura Da Aba=50Mm;300 x 50
Largura 400Mm, Altura Da Aba=50Mm;400 x 50
300X200Mmx100Mm;300 x 100
400X100Mmx100Mm;400 x 100
200X100Mmx100Mm;200 x 100
300mm x 200mm x 100mm;300 x 100
600mm x 200mm x 100mm;600 x 100
200mm x 100mm PARA 100mm x 100mm;200 x 100
600mm x 300mm x 100mm;600 x 100
300 X 200 X ABA 100mm;300 x 100
200 X 100 X ABA 100mm;200 x 100
LARGURA 300 x ABA 100mm PARA LARGURA 200 x ABA 100mm;300 x 100
LARGURA 200 X 100 X ABA 100mm;200 x 100
200x100x100mm;200 x 100
300mm x 200mm x 100mm ;300 x 100
100mm de 200mm para 100mm;200 x 100
100mm de 400mm para 300mm;400 x 100
400 x 200;400 x 100
600 x 200;600 x 100
600 x 400;600 x 100
altura da aba 100 mm. 800 x 500;800 x 100
altura da aba 100 mm. 500 x 300;500 x 100
Larg. 400 x larg. 200mm;400 x 100
LARGURA 300mm para 100mm;300 x 100
LARGURA 400mm para 200mm;400 x 100
 LARGURA 500mm para 300mm;500 x 100
 largura 400x300mm;400 x 100
Largura 800 x 400mm;800 x 100
Largura 800 x 600mm;800 x 100
300x200x100mm;300 x 100
400x300x100mm;400 x 100
500 x 300;500 x 100
800 x 400;800 x 100
800 x 600;800 x 100
200mm x 100mm e altura da aba 100mm;200 x 100
300mm x 200mm e altura da aba 100mm;300 x 100
600mm x 200mm e altura da aba 100mm;600 x 100
600mm x 400mm e altura da aba 100mm ;600 x 100
600mm x 200mm e altura da aba 100mm;600 x 100
1.5mm²;1,5
2.5mm²;2,5
4mm²;4
6mm²;6
10mm²;10
16mm²;16
25mm²;25
35mm²;35
50mm²;50
70mm²;70
95mm²;95
120mm²;120
150mm²;150
185mm²;185
240mm²;240
300mm²;300
400mm²;400
500mm²;500
1,5mm²;1,5
2,5mm²;2,5
1mm²;1
1,0mm²;1
1.0mm²;1
1.5mm2;1,5
2.5mm2;2,5
1,5mm2;1,5
2,5mm2;2,5
4mm2;4
6mm2;6
10mm2;10
16mm2;16
25mm2;25
35mm2;35
50mm2;50
70mm2;70
95mm2;95
120mm2;120
150mm2;150
185mm2;185
240mm2;240
300mm2;300
400mm2;400
500mm2;500
ALTURA 50MM, LARGURA 100MM;100 x 50
"L=50; A=50mm.";50 x 50
ABA DE 50mm, LARGURA 100mm;100 x 50
ABA DE 50mm, LARGURA 200mm;200 x 50
ABA DE 50mm, LARGURA 300mm;200 x 50
ABA DE 50mm, LARGURA 400mm;200 x 50
Largura da peça: 100 mm Altura da aba: 100 mm;100 x 100
Largura da peça: 200 mm Altura da aba: 100 mm;200 x 100
Largura da peça: 300 mm Altura da aba: 100 mm;300 x 100
Largura da peça: 400 mm Altura da aba: 100 mm;400 x 100
Largura da peça: 500 mm Altura da aba: 100 mm;500 x 100
Largura da peça: 600 mm Altura da aba: 100 mm;600 x 100
Largura da peça: 800 mm Altura da aba: 100 mm;800 x 100
Largura da peça: 1000 mm Altura da aba: 100 mm;1000 x 100
Largura da peça: 1200 mm Altura da aba: 100 mm;1200 x 100
LARGURA 100 x ABA 100mm;100 x 100
LARGURA 200 x ABA 100mm;200 x 100
LARGURA 300 x ABA 100mm;300 x 100
LARGURA 400 x ABA 100mm;400 x 100
LARGURA 500 x ABA 100mm;500 x 100
LARGURA 600 x ABA 100mm;600 x 100
LARGURA 800 x ABA 100mm;800 x 100
LARGURA 1000 x ABA 100mm;1000 x 100
LARGURA 1200 x ABA 100mm;1200 x 100
Largura 100mm - Aba 100mm;100 x 100
Largura 200mm - Aba 100mm;200 x 100
Largura 300mm - Aba 100mm;300 x 100
Largura 400mm - Aba 100mm;400 x 100
Largura 500mm - Aba 100mm;500 x 100
Largura 600mm - Aba 100mm;600 x 100
Largura 800mm - Aba 100mm;800 x 100
Largura 1000mm - Aba 100mm;1000 x 100
Largura 2100mm - Aba 100mm;1200 x 100
ABA 100mm LARGURA 150mm;150 x 100
ABA 100mm LARGURA 100mm ;100 x 100
ABA 100mm LARGURA 200mm ;200 x 100
ABA 100mm LARGURA 300mm ;300 x 100
ABA 100mm LARGURA 400mm ;400 x 100
ABA 100mm LARGURA 500mm ;500 x 100
ABA 100mm LARGURA 600mm ;600 x 100
ABA 100mm LARGURA 800mm ;800 x 100
ABA 100mm LARGURA 1000mm ;1000 x 100
ABA 100mm LARGURA 1200mm ;1200 x 100
50 x 100;100 x 50
A1:100mm      A2:100mm - B:100mm;100 x 100
A1:200mm      A2:200mm - B:100mm;200 x 100
A1:300mm      A2:300mm - B:100mm;300 x 100
A1:400mm      A2:400mm - B:100mm;400 x 100
A1:500mm      A2:500mm - B:100mm;500 x 100
A1:600mm      A2:600mm - B:100mm;600 x 100
A1:800mm      A2:800mm - B:100mm;800 x 100
A1:1000mm      A2:1000mm - B:100mm;1000 x 100
A1:1200mm      A2:1200mm - B:100mm;1200 x 100
A:100mm         B:100mm;100 x 100
A:200mm         B:100mm;200 x 100
A:300mm         B:100mm;300 x 100
A:400mm         B:100mm;400 x 100
A:500mm         B:100mm;500 x 100
A:600mm         B:100mm;600 x 100
A:800mm         B:100mm;800 x 100
A:1000mm         B:100mm;1000 x 100
A:1200mm         B:100mm;1200 x 100
LARGURA 100MM  ALTURA 100MM;100 x 100
LARGURA 200MM  ALTURA 100MM;200 x 100
LARGURA 300MM  ALTURA 100MM;300 x 100
LARGURA 400MM  ALTURA 100MM;400 x 100
LARGURA 500MM  ALTURA 100MM;500 x 100
LARGURA 600MM  ALTURA 100MM;600 x 100
LARGURA 800MM  ALTURA 100MM;800 x 100
LARGURA 1000MM  ALTURA 100MM;1000 x 100
LARGURA 1200MM  ALTURA 100MM;1200 x 100
"L=100; A=100mm";100 x 100
"L=200; A=100mm";200 x 100
"L=300; A=100mm";300 x 100
"L=400; A=100mm";400 x 100
"L=500; A=100mm";500 x 100
"L=600; A=100mm";600 x 100
"L=800; A=100mm";800 x 100
"L=1000; A=100mm";1000 x 100
"L=1200; A=100mm";1200 x 100
 largura 100mm;100 x 100
 largura 200mm;200 x 100
 largura 300mm;300 x 100
 largura 400mm;400 x 100
 largura 500mm;500 x 100
 largura 600mm;600 x 100
 largura 800mm;800 x 100
 largura 1000mm;1000 x 100
 largura 1200mm;1200 x 100
ABA DE 50mm, LARGURA 100mm,;100 x 50
ABA DE 50mm, LARGURA 200mm,;200 x 50
ABA DE 50mm, LARGURA 300mm,;300 x 50
ABA DE 50mm, LARGURA 400mm,;400 x 50
 ABA 50mm, LARGURA 100mm;100 x 50
 ABA 50mm, LARGURA 200mm;200 x 50
 ABA 50mm, LARGURA 300mm;300 x 50
 ABA 50mm, LARGURA 400mm;400 x 50
LARG. 100mm, ALT. DE ABA 50mm;100 x 50
LARG. 200mm, ALT. DE ABA 50mm;200 x 50
